tool,variant_group,total_variants_in_group,variants_with_tool_output,variants_without_tool_output,percent_with_tool_output,columns_present,tool_category
REVEL,Non-coding/regulatory,143,14,129,9.8,REVEL_score; REVEL_score_new; REVEL_new,Meta/ensemble predictor
ClinPred,Non-coding/regulatory,143,14,129,9.8,ClinPred_score; ClinPred_score_new; ClinPred_pred_new; ClinPred_new,Meta/ensemble predictor
MetaSVM,Non-coding/regulatory,143,14,129,9.8,MetaSVM_score; MetaSVM_score_new; MetaSVM_pred_new,Meta/ensemble predictor
MetaLR,Non-coding/regulatory,143,14,129,9.8,MetaLR_score; MetaLR_score_new; MetaLR_pred_new,Meta/ensemble predictor
BayesDel addAF,Non-coding/regulatory,143,14,129,9.8,BayesDel_addAF_score; BayesDel_addAF_score_new; BayesDel_addAF_pred_new,Meta/ensemble predictor
LIST-S2,Non-coding/regulatory,143,14,129,9.8,LIST-S2_score_seperated; LIST_S2_score_new; LIST_S2_pred_new,Meta/ensemble predictor
MutationAssessor,Non-coding/regulatory,143,11,132,7.7,MutationAssessor_standalone_score; MutationAssessor_score_new; MutationAssessor_pred_new,Individual missense predictor
FATHMM-XF,Non-coding/regulatory,143,0,143,0,fathmm_XF_coding_score_new; fathmm_XF_coding_pred_new,Modern/deep learning predictor
DEOGEN2,Non-coding/regulatory,143,0,143,0,DEOGEN2_score_new; DEOGEN2_pred_new,Modern/deep learning predictor
PrimateAI,Non-coding/regulatory,143,0,143,0,PrimateAI_score_new; PrimateAI_pred_new,Modern/deep learning predictor
MetaRNN,Non-coding/regulatory,143,0,143,0,MetaRNN_score_new; MetaRNN_pred_new,Modern/deep learning predictor
BayesDel noAF,Non-coding/regulatory,143,0,143,0,BayesDel_noAF_score_new; BayesDel_noAF_pred_new,Meta/ensemble predictor
AlphaMissense,Non-coding/regulatory,143,0,143,0,am_class_new; am_pathogenicity_new,Modern/deep learning predictor
EVE,Non-coding/regulatory,143,0,143,0,EVE_CLASS_new; EVE_SCORE_new,Modern/deep learning predictor
popEVE,Non-coding/regulatory,143,0,143,0,popEVE_pred_new; popEVE_score_new; popEVE_SCORE_1_new; popEVE_EVE_new; popEVE_ESM1v_new,Modern/deep learning predictor
MutationAssessor,Other coding,67,2,65,3,MutationAssessor_standalone_score; MutationAssessor_score_new; MutationAssessor_pred_new,Individual missense predictor
SIFT,Other coding,67,0,67,0,SIFT_score; SIFT_new,Individual missense predictor
PROVEAN,Other coding,67,0,67,0,PROVEAN_score_seperated; PROVEAN_score_new; PROVEAN_pred_new,Individual missense predictor
FATHMM,Other coding,67,0,67,0,FATHMM_score_seperated,Individual missense predictor
FATHMM-MKL,Other coding,67,0,67,0,fathmm-MKL_coding_score,Meta/ensemble predictor
FATHMM-XF,Other coding,67,0,67,0,fathmm_XF_coding_score_new; fathmm_XF_coding_pred_new,Modern/deep learning predictor
PolyPhen-2,Other coding,67,0,67,0,PolyPhen_score; PolyPhen_new,Individual missense predictor
MutationTaster,Other coding,67,0,67,0,MutationTaster_score; MutationTaster_score_new; MutationTaster_pred_new; MutationTaster_model_new,Individual missense predictor
DEOGEN2,Other coding,67,0,67,0,DEOGEN2_score_new; DEOGEN2_pred_new,Modern/deep learning predictor
PrimateAI,Other coding,67,0,67,0,PrimateAI_score_new; PrimateAI_pred_new,Modern/deep learning predictor
MutPred2,Other coding,67,0,67,0,MutPred_score; MutPred2_score_new; MutPred2_pred_new,Modern/deep learning predictor
MetaRNN,Other coding,67,0,67,0,MetaRNN_score_new; MetaRNN_pred_new,Modern/deep learning predictor
REVEL,Other coding,67,0,67,0,REVEL_score; REVEL_score_new; REVEL_new,Meta/ensemble predictor
ClinPred,Other coding,67,0,67,0,ClinPred_score; ClinPred_score_new; ClinPred_pred_new; ClinPred_new,Meta/ensemble predictor
MetaSVM,Other coding,67,0,67,0,MetaSVM_score; MetaSVM_score_new; MetaSVM_pred_new,Meta/ensemble predictor
MetaLR,Other coding,67,0,67,0,MetaLR_score; MetaLR_score_new; MetaLR_pred_new,Meta/ensemble predictor
BayesDel addAF,Other coding,67,0,67,0,BayesDel_addAF_score; BayesDel_addAF_score_new; BayesDel_addAF_pred_new,Meta/ensemble predictor
BayesDel noAF,Other coding,67,0,67,0,BayesDel_noAF_score_new; BayesDel_noAF_pred_new,Meta/ensemble predictor
LIST-S2,Other coding,67,0,67,0,LIST-S2_score_seperated; LIST_S2_score_new; LIST_S2_pred_new,Meta/ensemble predictor
AlphaMissense,Other coding,67,0,67,0,am_class_new; am_pathogenicity_new,Modern/deep learning predictor
EVE,Other coding,67,0,67,0,EVE_CLASS_new; EVE_SCORE_new,Modern/deep learning predictor
popEVE,Other coding,67,0,67,0,popEVE_pred_new; popEVE_score_new; popEVE_SCORE_1_new; popEVE_EVE_new; popEVE_ESM1v_new,Modern/deep learning predictor
SIFT,Splice-related,71,0,71,0,SIFT_score; SIFT_new,Individual missense predictor
PROVEAN,Splice-related,71,0,71,0,PROVEAN_score_seperated; PROVEAN_score_new; PROVEAN_pred_new,Individual missense predictor
FATHMM,Splice-related,71,0,71,0,FATHMM_score_seperated,Individual missense predictor
FATHMM-MKL,Splice-related,71,0,71,0,fathmm-MKL_coding_score,Meta/ensemble predictor
FATHMM-XF,Splice-related,71,0,71,0,fathmm_XF_coding_score_new; fathmm_XF_coding_pred_new,Modern/deep learning predictor
PolyPhen-2,Splice-related,71,0,71,0,PolyPhen_score; PolyPhen_new,Individual missense predictor
MutationTaster,Splice-related,71,0,71,0,MutationTaster_score; MutationTaster_score_new; MutationTaster_pred_new; MutationTaster_model_new,Individual missense predictor
MutationAssessor,Splice-related,71,0,71,0,MutationAssessor_standalone_score; MutationAssessor_score_new; MutationAssessor_pred_new,Individual missense predictor
DEOGEN2,Splice-related,71,0,71,0,DEOGEN2_score_new; DEOGEN2_pred_new,Modern/deep learning predictor
PrimateAI,Splice-related,71,0,71,0,PrimateAI_score_new; PrimateAI_pred_new,Modern/deep learning predictor
MutPred2,Splice-related,71,0,71,0,MutPred_score; MutPred2_score_new; MutPred2_pred_new,Modern/deep learning predictor
MetaRNN,Splice-related,71,0,71,0,MetaRNN_score_new; MetaRNN_pred_new,Modern/deep learning predictor
REVEL,Splice-related,71,0,71,0,REVEL_score; REVEL_score_new; REVEL_new,Meta/ensemble predictor
ClinPred,Splice-related,71,0,71,0,ClinPred_score; ClinPred_score_new; ClinPred_pred_new; ClinPred_new,Meta/ensemble predictor
MetaSVM,Splice-related,71,0,71,0,MetaSVM_score; MetaSVM_score_new; MetaSVM_pred_new,Meta/ensemble predictor
MetaLR,Splice-related,71,0,71,0,MetaLR_score; MetaLR_score_new; MetaLR_pred_new,Meta/ensemble predictor
BayesDel addAF,Splice-related,71,0,71,0,BayesDel_addAF_score; BayesDel_addAF_score_new; BayesDel_addAF_pred_new,Meta/ensemble predictor
BayesDel noAF,Splice-related,71,0,71,0,BayesDel_noAF_score_new; BayesDel_noAF_pred_new,Meta/ensemble predictor
LIST-S2,Splice-related,71,0,71,0,LIST-S2_score_seperated; LIST_S2_score_new; LIST_S2_pred_new,Meta/ensemble predictor
AlphaMissense,Splice-related,71,0,71,0,am_class_new; am_pathogenicity_new,Modern/deep learning predictor
EVE,Splice-related,71,0,71,0,EVE_CLASS_new; EVE_SCORE_new,Modern/deep learning predictor
popEVE,Splice-related,71,0,71,0,popEVE_pred_new; popEVE_score_new; popEVE_SCORE_1_new; popEVE_EVE_new; popEVE_ESM1v_new,Modern/deep learning predictor
FATHMM-MKL,Stop/start altered,67,65,2,97,fathmm-MKL_coding_score,Meta/ensemble predictor
MutationTaster,Stop/start altered,67,65,2,97,MutationTaster_score; MutationTaster_score_new; MutationTaster_pred_new; MutationTaster_model_new,Individual missense predictor
BayesDel addAF,Stop/start altered,67,65,2,97,BayesDel_addAF_score; BayesDel_addAF_score_new; BayesDel_addAF_pred_new,Meta/ensemble predictor
BayesDel noAF,Stop/start altered,67,65,2,97,BayesDel_noAF_score_new; BayesDel_noAF_pred_new,Meta/ensemble predictor
FATHMM-XF,Stop/start altered,67,57,10,85.1,fathmm_XF_coding_score_new; fathmm_XF_coding_pred_new,Modern/deep learning predictor
SIFT,Stop/start altered,67,15,52,22.4,SIFT_score; SIFT_new,Individual missense predictor
PROVEAN,Stop/start altered,67,15,52,22.4,PROVEAN_score_seperated; PROVEAN_score_new; PROVEAN_pred_new,Individual missense predictor
FATHMM,Stop/start altered,67,15,52,22.4,FATHMM_score_seperated,Individual missense predictor
PolyPhen-2,Stop/start altered,67,15,52,22.4,PolyPhen_score; PolyPhen_new,Individual missense predictor
MutPred2,Stop/start altered,67,15,52,22.4,MutPred_score; MutPred2_score_new; MutPred2_pred_new,Modern/deep learning predictor
MetaRNN,Stop/start altered,67,15,52,22.4,MetaRNN_score_new; MetaRNN_pred_new,Modern/deep learning predictor
REVEL,Stop/start altered,67,15,52,22.4,REVEL_score; REVEL_score_new; REVEL_new,Meta/ensemble predictor
ClinPred,Stop/start altered,67,15,52,22.4,ClinPred_score; ClinPred_score_new; ClinPred_pred_new; ClinPred_new,Meta/ensemble predictor
MetaSVM,Stop/start altered,67,15,52,22.4,MetaSVM_score; MetaSVM_score_new; MetaSVM_pred_new,Meta/ensemble predictor
MetaLR,Stop/start altered,67,15,52,22.4,MetaLR_score; MetaLR_score_new; MetaLR_pred_new,Meta/ensemble predictor
DEOGEN2,Stop/start altered,67,10,57,14.9,DEOGEN2_score_new; DEOGEN2_pred_new,Modern/deep learning predictor
LIST-S2,Stop/start altered,67,10,57,14.9,LIST-S2_score_seperated; LIST_S2_score_new; LIST_S2_pred_new,Meta/ensemble predictor
popEVE,Stop/start altered,67,2,65,3,popEVE_pred_new; popEVE_score_new; popEVE_SCORE_1_new; popEVE_EVE_new; popEVE_ESM1v_new,Modern/deep learning predictor
MutationAssessor,Stop/start altered,67,0,67,0,MutationAssessor_standalone_score; MutationAssessor_score_new; MutationAssessor_pred_new,Individual missense predictor
PrimateAI,Stop/start altered,67,0,67,0,PrimateAI_score_new; PrimateAI_pred_new,Modern/deep learning predictor
AlphaMissense,Stop/start altered,67,0,67,0,am_class_new; am_pathogenicity_new,Modern/deep learning predictor
EVE,Stop/start altered,67,0,67,0,EVE_CLASS_new; EVE_SCORE_new,Modern/deep learning predictor
MutationAssessor,Synonymous,27,2,25,7.4,MutationAssessor_standalone_score; MutationAssessor_score_new; MutationAssessor_pred_new,Individual missense predictor
SIFT,Synonymous,27,0,27,0,SIFT_score; SIFT_new,Individual missense predictor
PROVEAN,Synonymous,27,0,27,0,PROVEAN_score_seperated; PROVEAN_score_new; PROVEAN_pred_new,Individual missense predictor
FATHMM,Synonymous,27,0,27,0,FATHMM_score_seperated,Individual missense predictor
FATHMM-MKL,Synonymous,27,0,27,0,fathmm-MKL_coding_score,Meta/ensemble predictor
FATHMM-XF,Synonymous,27,0,27,0,fathmm_XF_coding_score_new; fathmm_XF_coding_pred_new,Modern/deep learning predictor
PolyPhen-2,Synonymous,27,0,27,0,PolyPhen_score; PolyPhen_new,Individual missense predictor
MutationTaster,Synonymous,27,0,27,0,MutationTaster_score; MutationTaster_score_new; MutationTaster_pred_new; MutationTaster_model_new,Individual missense predictor
DEOGEN2,Synonymous,27,0,27,0,DEOGEN2_score_new; DEOGEN2_pred_new,Modern/deep learning predictor
PrimateAI,Synonymous,27,0,27,0,PrimateAI_score_new; PrimateAI_pred_new,Modern/deep learning predictor
MutPred2,Synonymous,27,0,27,0,MutPred_score; MutPred2_score_new; MutPred2_pred_new,Modern/deep learning predictor
MetaRNN,Synonymous,27,0,27,0,MetaRNN_score_new; MetaRNN_pred_new,Modern/deep learning predictor
REVEL,Synonymous,27,0,27,0,REVEL_score; REVEL_score_new; REVEL_new,Meta/ensemble predictor
ClinPred,Synonymous,27,0,27,0,ClinPred_score; ClinPred_score_new; ClinPred_pred_new; ClinPred_new,Meta/ensemble predictor
MetaSVM,Synonymous,27,0,27,0,MetaSVM_score; MetaSVM_score_new; MetaSVM_pred_new,Meta/ensemble predictor
MetaLR,Synonymous,27,0,27,0,MetaLR_score; MetaLR_score_new; MetaLR_pred_new,Meta/ensemble predictor
BayesDel addAF,Synonymous,27,0,27,0,BayesDel_addAF_score; BayesDel_addAF_score_new; BayesDel_addAF_pred_new,Meta/ensemble predictor
BayesDel noAF,Synonymous,27,0,27,0,BayesDel_noAF_score_new; BayesDel_noAF_pred_new,Meta/ensemble predictor
LIST-S2,Synonymous,27,0,27,0,LIST-S2_score_seperated; LIST_S2_score_new; LIST_S2_pred_new,Meta/ensemble predictor
AlphaMissense,Synonymous,27,0,27,0,am_class_new; am_pathogenicity_new,Modern/deep learning predictor
EVE,Synonymous,27,0,27,0,EVE_CLASS_new; EVE_SCORE_new,Modern/deep learning predictor
popEVE,Synonymous,27,0,27,0,popEVE_pred_new; popEVE_score_new; popEVE_SCORE_1_new; popEVE_EVE_new; popEVE_ESM1v_new,Modern/deep learning predictor
SIFT,UTR,59,0,59,0,SIFT_score; SIFT_new,Individual missense predictor
PROVEAN,UTR,59,0,59,0,PROVEAN_score_seperated; PROVEAN_score_new; PROVEAN_pred_new,Individual missense predictor
FATHMM,UTR,59,0,59,0,FATHMM_score_seperated,Individual missense predictor
FATHMM-MKL,UTR,59,0,59,0,fathmm-MKL_coding_score,Meta/ensemble predictor
FATHMM-XF,UTR,59,0,59,0,fathmm_XF_coding_score_new; fathmm_XF_coding_pred_new,Modern/deep learning predictor
PolyPhen-2,UTR,59,0,59,0,PolyPhen_score; PolyPhen_new,Individual missense predictor
MutationTaster,UTR,59,0,59,0,MutationTaster_score; MutationTaster_score_new; MutationTaster_pred_new; MutationTaster_model_new,Individual missense predictor
MutationAssessor,UTR,59,0,59,0,MutationAssessor_standalone_score; MutationAssessor_score_new; MutationAssessor_pred_new,Individual missense predictor
DEOGEN2,UTR,59,0,59,0,DEOGEN2_score_new; DEOGEN2_pred_new,Modern/deep learning predictor
PrimateAI,UTR,59,0,59,0,PrimateAI_score_new; PrimateAI_pred_new,Modern/deep learning predictor
MutPred2,UTR,59,0,59,0,MutPred_score; MutPred2_score_new; MutPred2_pred_new,Modern/deep learning predictor
MetaRNN,UTR,59,0,59,0,MetaRNN_score_new; MetaRNN_pred_new,Modern/deep learning predictor
REVEL,UTR,59,0,59,0,REVEL_score; REVEL_score_new; REVEL_new,Meta/ensemble predictor
ClinPred,UTR,59,0,59,0,ClinPred_score; ClinPred_score_new; ClinPred_pred_new; ClinPred_new,Meta/ensemble predictor
MetaSVM,UTR,59,0,59,0,MetaSVM_score; MetaSVM_score_new; MetaSVM_pred_new,Meta/ensemble predictor
MetaLR,UTR,59,0,59,0,MetaLR_score; MetaLR_score_new; MetaLR_pred_new,Meta/ensemble predictor
BayesDel addAF,UTR,59,0,59,0,BayesDel_addAF_score; BayesDel_addAF_score_new; BayesDel_addAF_pred_new,Meta/ensemble predictor
BayesDel noAF,UTR,59,0,59,0,BayesDel_noAF_score_new; BayesDel_noAF_pred_new,Meta/ensemble predictor
LIST-S2,UTR,59,0,59,0,LIST-S2_score_seperated; LIST_S2_score_new; LIST_S2_pred_new,Meta/ensemble predictor
AlphaMissense,UTR,59,0,59,0,am_class_new; am_pathogenicity_new,Modern/deep learning predictor
EVE,UTR,59,0,59,0,EVE_CLASS_new; EVE_SCORE_new,Modern/deep learning predictor
popEVE,UTR,59,0,59,0,popEVE_pred_new; popEVE_score_new; popEVE_SCORE_1_new; popEVE_EVE_new; popEVE_ESM1v_new,Modern/deep learning predictor
