tool,prediction_column,total_eligible_binary_variants,total_variants_evaluated,variants_not_evaluated,true_positive,true_negative,false_positive,false_negative,accuracy,sensitivity,specificity,ppv,npv,balanced_accuracy,mcc,LR_positive,LR_negative
AlphaMissense,AlphaMissense_predicted_clean,181,181,0,147,19,9,6,0.917,0.961,0.679,0.942,0.76,0.82,0.67,2.989,0.058
MutPred2,MutPred2_predicted_clean,181,181,0,145,19,9,8,0.906,0.948,0.679,0.942,0.704,0.814,0.636,2.948,0.077
Eigen-PC,Eigen_PC_predicted_clean,181,181,0,145,16,12,8,0.89,0.948,0.571,0.924,0.667,0.759,0.554,2.211,0.092
DANN,DANN_predicted_clean,181,181,0,145,15,13,8,0.884,0.948,0.536,0.918,0.652,0.742,0.525,2.041,0.098
ESM1b,ESM1b_predicted_clean,181,181,0,141,16,12,12,0.867,0.922,0.571,0.922,0.571,0.746,0.493,2.15,0.137
PolyPhen-2,PolyPhen_predicted_clean,181,181,0,136,18,10,17,0.851,0.889,0.643,0.932,0.514,0.766,0.487,2.489,0.173
SIFT,SIFT_predicted_clean,181,181,0,149,11,17,4,0.884,0.974,0.393,0.898,0.733,0.683,0.481,1.604,0.067
CADD,CADD_predicted_clean,181,181,0,151,9,19,2,0.884,0.987,0.321,0.888,0.818,0.654,0.467,1.454,0.041
