column_name,is_updated_column,possible_original_name,original_column_exists
AltaiNeandertal_new,TRUE,AltaiNeandertal,FALSE
Amino_acids_new,TRUE,Amino_acids,FALSE
BIOTYPE_new,TRUE,BIOTYPE,FALSE
BLOSUM62_new,TRUE,BLOSUM62,FALSE
BayesDel_addAF_pred_new,TRUE,BayesDel_addAF_pred,FALSE
BayesDel_addAF_rankscore_new,TRUE,BayesDel_addAF_rankscore,FALSE
BayesDel_noAF_pred_new,TRUE,BayesDel_noAF_pred,FALSE
BayesDel_noAF_rankscore_new,TRUE,BayesDel_noAF_rankscore,FALSE
BayesDel_noAF_score_new,TRUE,BayesDel_noAF_score,FALSE
CADD_RAW_new,TRUE,CADD_RAW,FALSE
CCDS_id_new,TRUE,CCDS_id,FALSE
CDS_position_new,TRUE,CDS_position,FALSE
CLIN_SIG_new,TRUE,CLIN_SIG,FALSE
ChagyrskayaNeandertal_new,TRUE,ChagyrskayaNeandertal,FALSE
ClinGen_Haploinsufficiency_Description_new,TRUE,ClinGen_Haploinsufficiency_Description,FALSE
ClinGen_Haploinsufficiency_Disease_new,TRUE,ClinGen_Haploinsufficiency_Disease,FALSE
ClinGen_Haploinsufficiency_PMID_new,TRUE,ClinGen_Haploinsufficiency_PMID,FALSE
ClinGen_Haploinsufficiency_Score_new,TRUE,ClinGen_Haploinsufficiency_Score,FALSE
ClinPred_new,TRUE,ClinPred,FALSE
ClinPred_pred_new,TRUE,ClinPred_pred,FALSE
ClinPred_rankscore_new,TRUE,ClinPred_rankscore,FALSE
Codons_new,TRUE,Codons,FALSE
DANN_rankscore_new,TRUE,DANN_rankscore,FALSE
DEOGEN2_pred_new,TRUE,DEOGEN2_pred,FALSE
DEOGEN2_rankscore_new,TRUE,DEOGEN2_rankscore,FALSE
DEOGEN2_score_new,TRUE,DEOGEN2_score,FALSE
DISTANCE_new,TRUE,DISTANCE,FALSE
Denisova_new,TRUE,Denisova,FALSE
Disease_description_new,TRUE,Disease_description,FALSE
ESM1b_converted_rankscore_new,TRUE,ESM1b_converted_rankscore,FALSE
ESM1b_pred_new,TRUE,ESM1b_pred,FALSE
ESM1b_score_new,TRUE,ESM1b_score,FALSE
EVE_CLASS_new,TRUE,EVE_CLASS,FALSE
EVE_SCORE_new,TRUE,EVE_SCORE,FALSE
EXON_new,TRUE,EXON,FALSE
Eigen_PC_phred_coding_new,TRUE,Eigen_PC_phred_coding,FALSE
Eigen_PC_raw_coding_new,TRUE,Eigen_PC_raw_coding,FALSE
Eigen_PC_raw_coding_rankscore_new,TRUE,Eigen_PC_raw_coding_rankscore,FALSE
Eigen_phred_coding_new,TRUE,Eigen_phred_coding,FALSE
Eigen_raw_coding_new,TRUE,Eigen_raw_coding,FALSE
Eigen_raw_coding_rankscore_new,TRUE,Eigen_raw_coding_rankscore,FALSE
Ensembl_geneid_new,TRUE,Ensembl_geneid,FALSE
Ensembl_proteinid_new,TRUE,Ensembl_proteinid,FALSE
Ensembl_transcriptid_new,TRUE,Ensembl_transcriptid,FALSE
Entrez_gene_id_new,TRUE,Entrez_gene_id,FALSE
Essential_gene_CRISPR2_new,TRUE,Essential_gene_CRISPR2,FALSE
Essential_gene_CRISPR_new,TRUE,Essential_gene_CRISPR,FALSE
Essential_gene_gene_trap_new,TRUE,Essential_gene_gene_trap,FALSE
Essential_gene_new,TRUE,Essential_gene,FALSE
ExAC_cnv_flag_new,TRUE,ExAC_cnv_flag,FALSE
ExAC_cnv_score_new,TRUE,ExAC_cnv_score,FALSE
ExAC_del_score_new,TRUE,ExAC_del_score,FALSE
ExAC_dup_score_new,TRUE,ExAC_dup_score,FALSE
ExAC_nonTCGA_pLI_new,TRUE,ExAC_nonTCGA_pLI,FALSE
ExAC_nonTCGA_pNull_new,TRUE,ExAC_nonTCGA_pNull,FALSE
ExAC_nonTCGA_pRec_new,TRUE,ExAC_nonTCGA_pRec,FALSE
ExAC_nonpsych_pLI_new,TRUE,ExAC_nonpsych_pLI,FALSE
ExAC_nonpsych_pNull_new,TRUE,ExAC_nonpsych_pNull,FALSE
ExAC_nonpsych_pRec_new,TRUE,ExAC_nonpsych_pRec,FALSE
ExAC_pLI_new,TRUE,ExAC_pLI,FALSE
ExAC_pNull_new,TRUE,ExAC_pNull,FALSE
ExAC_pRec_new,TRUE,ExAC_pRec,FALSE
Existing_variation_new,TRUE,Existing_variation,FALSE
FLAGS_new,TRUE,FLAGS,FALSE
Feature_new,TRUE,Feature,FALSE
Feature_type_new,TRUE,Feature_type,FALSE
Function_description_new,TRUE,Function_description,FALSE
GDI_Phred_new,TRUE,GDI_Phred,FALSE
GDI_new,TRUE,GDI,FALSE
GERP_92_mammals_new,TRUE,GERP_92_mammals,FALSE
GERP_92_mammals_rankscore_new,TRUE,GERP_92_mammals_rankscore,FALSE
GERP__NR_new,TRUE,GERP__NR,FALSE
GERP__RS_new,TRUE,GERP__RS,FALSE
GERP__RS_rankscore_new,TRUE,GERP__RS_rankscore,FALSE
GHIS_new,TRUE,GHIS,FALSE
GO_biological_process_new,TRUE,GO_biological_process,FALSE
GO_cellular_component_new,TRUE,GO_cellular_component,FALSE
GO_molecular_function_new,TRUE,GO_molecular_function,FALSE
GenCC_disease_title_new,TRUE,GenCC_disease_title,FALSE
GenCC_id_new,TRUE,GenCC_id,FALSE
GenCC_impact_class_new,TRUE,GenCC_impact_class,FALSE
GenCC_model_of_inheritance_new,TRUE,GenCC_model_of_inheritance,FALSE
GenCC_pmid_new,TRUE,GenCC_pmid,FALSE
Gene_damage_prediction_Mendelian_AD_disease_causing_genes_new,TRUE,Gene_damage_prediction_Mendelian_AD_disease_causing_genes,FALSE
Gene_damage_prediction_Mendelian_AR_disease_causing_genes_new,TRUE,Gene_damage_prediction_Mendelian_AR_disease_causing_genes,FALSE
Gene_damage_prediction_PID_AD_disease_causing_genes_new,TRUE,Gene_damage_prediction_PID_AD_disease_causing_genes,FALSE
Gene_damage_prediction_PID_AR_disease_causing_genes_new,TRUE,Gene_damage_prediction_PID_AR_disease_causing_genes,FALSE
Gene_damage_prediction_all_Mendelian_disease_causing_genes_new,TRUE,Gene_damage_prediction_all_Mendelian_disease_causing_genes,FALSE
Gene_damage_prediction_all_PID_disease_causing_genes_new,TRUE,Gene_damage_prediction_all_PID_disease_causing_genes,FALSE
Gene_damage_prediction_all_cancer_disease_causing_genes_new,TRUE,Gene_damage_prediction_all_cancer_disease_causing_genes,FALSE
Gene_damage_prediction_all_disease_causing_genes_new,TRUE,Gene_damage_prediction_all_disease_causing_genes,FALSE
Gene_damage_prediction_cancer_dominant_disease_causing_genes_new,TRUE,Gene_damage_prediction_cancer_dominant_disease_causing_genes,FALSE
Gene_damage_prediction_cancer_recessive_disease_causing_genes_new,TRUE,Gene_damage_prediction_cancer_recessive_disease_causing_genes,FALSE
Gene_full_name_new,TRUE,Gene_full_name,FALSE
Gene_indispensability_pred_new,TRUE,Gene_indispensability_pred,FALSE
Gene_indispensability_score_new,TRUE,Gene_indispensability_score,FALSE
Gene_old_names_new,TRUE,Gene_old_names,FALSE
Gene_other_names_new,TRUE,Gene_other_names,FALSE
Gp3_AC_new,TRUE,Gp3_AC,FALSE
Gp3_AFR_AC_new,TRUE,Gp3_AFR_AC,FALSE
Gp3_AFR_AF_new,TRUE,Gp3_AFR_AF,FALSE
Gp3_AF_new,TRUE,Gp3_AF,FALSE
Gp3_AMR_AC_new,TRUE,Gp3_AMR_AC,FALSE
