threshold,threshold_full_precision,total_variants_evaluated,true_positive,true_negative,false_positive,false_negative,accuracy,sensitivity,specificity,balanced_accuracy,mcc
15.74,15.74,742,465,109,82,86,0.774,0.844,0.571,0.707,0.412
17.94,17.94,742,433,125,66,118,0.752,0.786,0.654,0.72,0.41
15.68,15.68,742,466,108,83,85,0.774,0.846,0.565,0.706,0.41
16.25,16.25,742,462,110,81,89,0.771,0.838,0.576,0.707,0.409
15.75,15.75,742,464,109,82,87,0.772,0.842,0.571,0.706,0.409
17.95,17.95,742,432,125,66,119,0.751,0.784,0.654,0.719,0.408
17.91,17.91,742,434,124,67,117,0.752,0.788,0.649,0.718,0.408
16.64,16.64,742,454,114,77,97,0.765,0.824,0.597,0.71,0.408
15.12,15.12,742,474,103,88,77,0.778,0.86,0.539,0.7,0.408
7.116,7.116,742,523,70,121,28,0.799,0.949,0.366,0.658,0.408
16.27,16.27,742,461,110,81,90,0.77,0.837,0.576,0.706,0.407
16.05,16.05,742,463,109,82,88,0.771,0.84,0.571,0.705,0.407
16.66,16.66,742,453,114,77,98,0.764,0.822,0.597,0.71,0.406
15.61,15.61,742,468,106,85,83,0.774,0.849,0.555,0.702,0.406
15.13,15.13,742,473,103,88,78,0.776,0.858,0.539,0.699,0.405
18.19,18.19,742,428,126,65,123,0.747,0.777,0.66,0.718,0.404
17.96,17.96,742,430,125,66,121,0.748,0.78,0.654,0.717,0.404
16.13,16.13,742,462,109,82,89,0.77,0.838,0.571,0.705,0.404
17.89,17.89,742,434,123,68,117,0.751,0.788,0.644,0.716,0.403
16.71,16.71,742,452,114,77,99,0.763,0.82,0.597,0.709,0.403
15.63,15.63,742,467,106,85,84,0.772,0.848,0.555,0.701,0.403
6.9,6.9,742,523,69,122,28,0.798,0.949,0.361,0.655,0.403
18.34,18.34,742,425,127,64,126,0.744,0.771,0.665,0.718,0.402
17.97,17.97,742,429,125,66,122,0.747,0.779,0.654,0.717,0.402
