observed_binary,n,min_score,q1_score,median_score,mean_score,q3_score,max_score
Benign,65,0.0509,0.1497,0.3159,0.41028615384615386,0.657,0.9954
Pathogenic,260,0.0784,0.56465,0.9275,0.7683565384615385,0.9818,0.9992
